"Scan Number","Fragment Type","Fragment Bond Number","Neutral Loss","Fragment Charge",Intensity,"Experimental Mz","Theoretical Mz","Mass Error (ppm)","% Base Peak","% TIC","Processing Time"
21,y,1," ",1,41153.78515625,147.1131897,147.11280115091,2.6411643850531,6.0930613086588%,0.95722943282087%,5.9999999999505E-6
198,b,1," ",1,166068.578125,129.1027069,129.10223646688,3.6438804924633,23.57332904528%,4.3287321611054%,1.9999999999465E-6
198,y,1," ",1,42589.3671875,147.1134186,147.11280115091,4.1971132773687,6.0455335854413%,1.1101315224539%,2.0000000000575E-6
198,b,3," ",1,4981.2041015625,373.1736145,373.17176646688,4.9522318864151,0.70707875417253%,0.12983972428086%,6.9999999999792E-6
198,b,7," ",1,8755.73828125,787.3502197,787.34683046688,4.3046253440307,1.2428714803766%,0.22822647318471%,1.0999999999983E-5
198,x,7," ",1,7369.201171875,788.3540649,788.35465873825,-0.75326281451095,1.046053419538%,0.19208509204156%,1.0999999999983E-5
198,a,8," ",1,3585.5517578125,830.3926392,830.38902984731,4.3465804114302,0.50896679161168%,0.093460746064004%,1.3000000000041E-5
198,b,8," ",1,17800.7890625,858.3891602,858.38394446688,6.076223995781,2.5268106861256%,0.46399414614062%,1.2000000000012E-5
306,b,1," ",1,67801.1171875,129.1026764,129.10223646688,3.4076336170061,27.333849068137%,2.8871365471281%,2.9999999999752E-6
306,y,1," ",1,36094.4609375,175.1194916,175.11895115091,3.0861827772114,14.5513907202%,1.5369899736808%,2.9999999999752E-6
306,b,2," ",1,7642.4086914063,258.1450195,258.14482646688,0.74777063587904,3.08101775241%,0.32543235799537%,3.999999999893E-6
306,y,3," ",1,16412.28125,416.2999573,416.29797115091,4.7709795114285,6.6165697138988%,0.69887487086062%,5.9999999999505E-6
306,M,+2H," ",2,248048.1875,466.2674255,466.26398880889,7.3706981205703,100%,10.562495387792%,2.0999999999938E-5
306,b,4," ",1,5139.1044921875,516.2286377,516.23000646688,-2.6514671015006,2.0718169900707%,0.21883557401971%,8.9999999999257E-6
306,y,4," ",1,11375.998046875,545.3421021,545.34056115091,2.825663815732,4.5862048666955%,0.48441767751941%,8.000000000008E-6
306,y,5," ",1,57313.41015625,674.3856201,674.38315115091,3.6610480060368,23.105756479777%,2.4405444624909%,9.9999999999545E-6
