"Scan Number","Fragment Type","Fragment Bond Number","Neutral Loss","Fragment Charge",Intensity,"Experimental Mz","Theoretical Mz","Mass Error (ppm)","% Base Peak","% TIC","Processing Time"
17249,y,1," ",1,2311.4926757813,175.1185913,175.11895115091,-2.0548941541838,9.0393951017515%,1.0197279421408%,4.9999999999772E-6
19000,M,+2H," ",2,4437.650390625,1038.543457,1038.5465843089,-3.0112360303894,8.663430496972%,0.34640271238494%,1.6000000000016E-5
19000,z,12," ",1,3418.67578125,1390.6856689,1390.697440082,-8.464229299076,6.6741309962386%,0.26686161800657%,8.000000000008E-6
20043,b,1," ",1,11436.50390625,157.1091766,157.10838646688,5.0292230654874,0.73138443507143%,0.16314052263793%,2.9999999999752E-6
20043,y,1," ",1,28013.41796875,175.1197815,175.11895115091,4.7416289643832,1.7915070937279%,0.39960845427589%,2.9999999999752E-6
20043,y,5," ",1,13044.6796875,593.3354492,593.34056415091,-8.6205987220276,0.83423009008164%,0.18608098063082%,1.0999999999983E-5
20043,y,6," ",1,4666.7758789063,706.4187012,706.42462415091,-8.3844060731295,0.29844848283867%,0.066571065962108%,1.3000000000041E-5
20043,M,+2H," ",2,1563678.875,732.4138794,732.41119680889,3.662684456077,100%,22.305714315892%,3.4999999999952E-5
20043,b,6," ",1,3131.9807128906,758.4000854,758.39776946688,3.0537182652422,0.20029564656558%,0.044677374710086%,1.4000000000014E-5
20043,y,7," ",1,20764.509765625,793.453064,793.45665315091,-4.5234366547921,1.3279267308401%,0.29620354290556%,1.5000000000043E-5
20043,y,8," ",1,3308.736328125,921.519104,921.51523315091,4.2005264283293,0.21159947742627%,0.047198774928624%,1.6999999999989E-5
20043,b,8," ",1,20728.953125,942.5227051,942.51894346688,3.9910424581958,1.3256528214593%,0.29569633117526%,1.6999999999989E-5
20043,b,9," ",1,17756.607421875,1089.590332,1089.5873534669,2.7336340785508,1.135566113079%,0.25329613305148%,1.8999999999991E-5
20043,b,11," ",1,13326.177734375,1289.703125,1289.7034424669,-0.24615494416419,0.85223238271189%,0.19009652059523%,1.9999999999964E-5
20043,y,11," ",1,9961.1748046875,1307.7181396,1307.7140071509,3.1600556915602,0.63703455766693%,0.14209510852669%,2.000000000002E-5
20464,y,1," ",1,8339.001953125,147.1131134,147.11280115091,2.1225147543456,25.160584340782%,1.2426991576566%,1.0000000000288E-6
20464,y,2," ",1,14240.483398438,310.1771545,310.17613115091,3.2992515808523,42.9666386474%,2.1221528455488%,2.000000000002E-6
20464,y,3," ",1,1506.4274902344,423.2588196,423.26019115091,-3.2404439104968,4.5452196958787%,0.22449163385596%,2.000000000002E-6
20464,c,9," ",2,8149.4018554688,530.2723999,530.26821701744,7.8882392470497,24.588519569132%,1.2144444716674%,3.0000000000308E-6
20702,y,1," ",1,6577.6298828125,175.1194305,175.11895115091,2.7372770784905,15.093152105071%,0.87606214860211%,1.0000000000288E-6
20702,a,10," ",2,3252.6433105469,573.3041382,573.30873265709,-8.0139318178151,7.463575954297%,0.43321344284206%,4.9999999999772E-6
21004,b,10," ",2,10273.41796875,605.8081055,605.80876046688,-1.0811446148092,5.3006600563749%,0.64441514397117%,6.000000000006E-6
21004,b,10," ",1,3772.69140625,1210.6063232,1210.6102444669,-3.2390828483862,1.9465532019595%,0.23664757757473%,1.1000000000039E-5
21459,y,1," ",1,28008.376953125,147.1134491,147.11280115091,4.4044371796372,6.6595548326849%,0.94163752346047%,1.0000000000288E-6
21459,b,2," ",1,3874.6186523438,169.0978394,169.09715446688,4.0505301414025,0.92126849814295%,0.13026411056424%,2.000000000002E-6
21459,c,7," ",1,4705.037109375,658.3287964,658.330735568,-2.9455832672602,1.1187171849386%,0.15818265724131%,4.000000000004E-6
21459,z,15," ",1,2756.5166015625,1596.8081055,1596.807689082,0.26078154806076,0.6554172519898%,0.092673683677461%,8.9999999999812E-6
22007,y,1," ",1,2202.2258300781,175.1193237,175.11895115091,2.1274059063779,4.2743047571131%,0.36734168728213%,9.9999999997324E-7
22007,b,2," ",1,8274.7890625,270.1820374,270.18121446688,3.0458561770787,16.060555539255%,1.3802739640079%,2.9999999999752E-6
22019,b,2," ",1,35069.421875,173.0924683,173.09207046688,2.2983902147592,25.917885388651%,1.4459091946175%,1.0000000000288E-6
22019,y,2," ",1,8089.1977539063,260.1959534,260.19686115091,-3.488708145741,5.9782821917954%,0.33351691542398%,2.000000000002E-6
22019,y,3," ",1,2749.6572265625,331.2345581,331.23397515091,1.7599314526068,2.0321207777572%,0.11336812680015%,3.0000000000308E-6
22019,a,4," ",1,12115.76171875,376.164978,376.16492384731,0.1439599696141,8.9540946737595%,0.49953179528811%,4.000000000004E-6
22019,b,4," ",1,20216.35546875,404.1624451,404.15983846688,6.4495104979632,14.94079902095%,0.83351856663365%,3.0000000000308E-6
22019,y,4," ",1,7664.609375,432.2828674,432.28165515091,2.8043038064481,5.6644922188363%,0.3160111737218%,4.000000000004E-6
22019,b,5," ",1,13916.55078125,517.2462158,517.24389846688,4.4801555470877,10.284959057477%,0.57377817072926%,5.0000000000328E-6
22019,a,6," ",1,2497.7001953125,560.2839966,560.28609784731,-3.7503113447139,1.8459131612736%,0.10297996045309%,5.0000000000328E-6
22019,y,11," ",2,4258.138671875,569.8496094,569.84515380889,7.8189505976922,3.1469566410307%,0.17556268476753%,6.000000000006E-6
22019,b,6," ",1,10758.735351562,588.2843018,588.28101246688,5.5914317328844,7.9511909481291%,0.44358171693642%,4.9999999999772E-6
22019,y,12," ",2,17023.888671875,633.8933716,633.89263380889,1.1639054734594,12.581421987493%,0.70189344000437%,6.000000000006E-6
22019,y,6," ",1,23822.212890625,642.4185181,642.41847915091,0.060628845837502,17.605690381893%,0.98218775255158%,6.000000000006E-6
22019,y,13," ",2,9970.94921875,690.4382935,690.43466380889,5.2571101891969,7.3689814445399%,0.4111013636279%,6.000000000006E-6
22019,y,14," ",2,14515.1328125,739.9720459,739.96887080889,4.2908441576947,10.727338191554%,0.59845765548958%,7.0000000000348E-6
22019,y,7," ",1,8955.4990234375,743.461853,743.46615915091,-5.791993160799,6.6185179246735%,0.36923444094774%,7.0000000000348E-6
22019,y,15," ",2,9252.5595703125,789.5073853,789.50307780889,5.4559522656976,6.8380590746485%,0.38148222129655%,7.0000000000348E-6
22019,y,16," ",2,9326.0888671875,840.026123,840.02691780889,-0.94617074403089,6.8924005432905%,0.38451382777139%,8.000000000008E-6
22019,y,8," ",1,4477.7197265625,842.5358887,842.53457315091,1.5614185255313,3.3092369497621%,0.18461599243448%,8.000000000008E-6
22019,y,17," ",2,8538.8466796875,897.0516968,897.04838280889,3.6943281651321,6.3105930398346%,0.3520559012805%,8.000000000008E-6
22019,y,18," ",2,61781.359375,925.5632935,925.55911480889,4.5147749497615,45.659212665201%,2.5472400399038%,8.9999999999812E-6
22019,y,19," ",2,71253.796875,961.0800781,961.07767180889,2.503742597319,52.659771452604%,2.9377878089976%,8.9999999999812E-6
22019,y,9," ",1,2935.9970703125,970.6026001,970.59315315091,9.7331709586812,2.1698343314869%,0.12105090224943%,1.000000000001E-5
22019,b,20," ",2,2675.8117675781,982.5267334,982.53532046688,-8.7397029908816,1.9775456510485%,0.11032348498921%,1.000000000001E-5
22019,z,20," ",2,8692.9912109375,988.5837402,988.58686677445,-3.1626704277974,6.4245128047074%,0.35841126681315%,9.0000000000368E-6
22019,y,20," ",2,106005.1171875,996.5998535,996.59622880889,3.637070863121,78.342565431187%,4.3705817040336%,9.0000000000368E-6
22019,y,10," ",1,4620.541015625,1041.6270752,1041.6302671509,-3.064379952921,3.4147883276598%,0.19050450168276%,1.000000000001E-5
22019,y,21," ",2,51547.73046875,1053.1433105,1053.1382588089,4.7967976324275,38.096099077314%,2.1253084157501%,1.000000000001E-5
22019,y,11," ",1,135309.734375,1138.6872559,1138.6830311509,3.7102064188713,100%,5.5788085059232%,1.000000000001E-5
22019,y,23," ",2,10741.010742188,1168.6734619,1168.6721428089,1.1287092913218,7.9380916619196%,0.44285093284316%,1.0999999999983E-5
22019,y,12," ",1,38495.109375,1266.7833252,1266.7779911509,4.2107213170341,28.449623046568%,1.587149990425%,1.2999999999985E-5
22019,y,13," ",1,24101.455078125,1379.8669434,1379.8620511509,3.5454624520951,17.812062960178%,0.99370088350283%,1.0999999999983E-5
22019,y,14," ",1,19377.298828125,1478.9229736,1478.9304651509,-5.0655193635229,14.320698298337%,0.79892433477523%,1.2000000000012E-5
22552,y,1," ",1,123051.1015625,175.1195374,175.11895115091,3.3477192911547,8.7383565814087%,2.9990050463576%,2.000000000002E-6
22552,M,+2H," ",2,1408172.125,596.3370972,596.33326980889,6.4182082399247,100%,34.320012217608%,1.2000000000012E-5
22552,b,8," ",1,18149.767578125,904.4725342,904.46352846688,9.9569886873411,1.2888884289003%,0.44234666626993%,6.000000000006E-6
22552,a,9," ",1,13558.413085938,989.5562134,989.55267384731,3.5769219613481,0.96283776998764%,0.3304460402955%,6.9999999999792E-6
