"Scan Number","Fragment Type","Fragment Bond Number","Neutral Loss","Fragment Charge",Intensity,"Experimental Mz","Theoretical Mz","Mass Error (ppm)","% Base Peak","% TIC","Processing Time"
5626,a,2," ",1,17545.271484375,143.1182556,143.11788584731,2.5835533330526,50.001391528309%,19.780131147385%,7.0000000000903E-6
5626,b,2," ",1,3196.7109375,171.1133881,171.11280046688,3.4341856330857,9.1101465902714%,3.6038975880391%,1.9999999999465E-6
5626,b,3," ",1,2049.6069335938,258.1459351,258.14482946688,4.282995414841,5.8410722716389%,2.3106792039769%,2.0000000000575E-6
5626,y,4," ",1,1831.0109863281,389.2112427,389.21430915091,-7.8785667351789,5.2181066164499%,2.0642392153422%,2.9999999999752E-6
5626,y,5," ",1,5966.4477539063,490.2638245,490.26198915091,3.7436087880629,17.003480991556%,6.7264344790212%,1.9999999999465E-6
5737,a,2," ",1,14339.374023438,143.1183624,143.11788584731,3.3297912988053,34.620215303108%,15.371034094193%,2.9999999999752E-6
5737,b,2," ",1,5938.3095703125,171.1135406,171.11280046688,4.3254106002907,14.337136023142%,6.3655469700387%,2.0000000000575E-6
5737,b,3," ",1,1553.5317382813,258.1435852,258.14482946688,-4.820034093087,3.7507636784982%,1.665302075007%,1.9999999999465E-6
5737,y,7," ",1,2495.1870117188,690.3831177,690.37808315091,7.2924520834633,6.024245648801%,2.674705643763%,2.9999999999752E-6
6256,a,2," ",1,2157.8894042969,101.0712967,101.07093984731,3.5307150753503,3.65620197228%,1.4369019733976%,2.9999999999752E-6
6256,b,2," ",1,1826.3106689453,129.0655975,129.06585446688,-1.9909749180601,3.0943942986593%,1.2161093145085%,4.000000000004E-6
6256,b,3," ",1,1909.3179931641,200.1033478,200.10296846688,1.8956896236036,3.2350370683574%,1.2713824845509%,2.9999999999752E-6
6393,a,2," ",1,2688.435546875,143.1178894,143.11788584731,0.02482352905958,37.952243273041%,6.9371043433329%,1.9999999999465E-6
6393,y,5," ",1,3159.0634765625,490.2649231,490.26198915091,5.9844514890853,44.596027498908%,8.151489065676%,2.9999999999752E-6
6393,y,6," ",1,2140.7849121094,589.3268433,589.33040315091,-6.0405010330278,30.221141017895%,5.5239740931108%,2.0000000000575E-6
6393,y,7," ",1,2854.3002929688,690.3823853,690.37808315091,6.2315841071735,40.293731132585%,7.3650934211706%,1.9999999999465E-6
6393,y,9," ",1,7083.7329101563,848.4465332,848.44722615091,-0.81672835719786,100%,18.278509371436%,2.9999999999752E-6
6432,b,2," ",1,3369.0236816406,230.0775146,230.07714646688,1.6000421018242,13.157926804756%,1.5960164110925%,1.9999999999465E-6
6432,y,9," ",2,7045.7294921875,506.324707,506.32471980889,-0.025297785275548,27.517524869154%,3.3377918828324%,4.000000000004E-6
6432,y,10," ",2,10217.975585938,570.3547363,570.35400980889,1.2737547093298,39.906924841525%,4.8405883319163%,4.000000000004E-6
6432,y,11," ",2,3324.5444335938,626.8943481,626.89603980889,-2.6985477442411,12.984210397442%,1.5749451404385%,4.000000000004E-6
7894,a,1," ",1,2145.4768066406,136.0755005,136.07569184731,-1.4061828854283,64.733347496105%,6.7416312424165%,2.9999999999752E-6
7894,y,13," ",2,1824.6395263672,654.3596802,654.36256730889,-4.4120935982052,55.05304189254%,5.7334792895599%,2.0000000000575E-6
7894,y,14," ",2,3092.6428222656,735.8959351,735.89423230889,2.3139073947767,93.311249916761%,9.7178666335093%,1.9999999999465E-6
8079,b,2," ",1,2696.9636230469,143.081955,143.08150446688,3.1487865791001,26.681130869468%,3.7093435456021%,1.9999999999465E-6
8079,b,3," ",1,10108.130859375,271.1403198,271.14008446688,0.86793924793582,100%,13.902497475648%,2.9999999999752E-6
8079,b,4," ",1,2240.013671875,370.2095337,370.20849846688,2.796351583739,22.160513185259%,3.0808647861712%,2.0000000000575E-6
8079,y,8," ",1,3280.8347167969,800.3734741,800.37847115091,-6.2433599716687,32.457382699533%,4.5123868104639%,2.0000000000575E-6
8079,y,9," ",1,6748.0263671875,928.4327393,928.43705115091,-4.6442038300853,66.758399362518%,9.2810847861571%,2.9999999999752E-6
8079,y,11," ",1,7551.2963867188,1142.5653076,1142.5687911509,-3.0488763001584,74.705170439253%,10.385884434496%,2.9999999999752E-6
9832,b,1," ",1,14972.875976562,129.1027679,129.10223646688,4.116374243818,26.111171398217%,7.9068474767737%,2.9999999999752E-6
9832,y,5," ",1,2244.6469726563,521.2694092,521.26780415091,3.0791256974995,3.9144358053364%,1.1853488454574%,2.9999999999752E-6
9832,M,+2H," ",2,5567.1313476563,551.3535767,551.35314030889,0.79149110442259,9.7085103117519%,2.9398799881858%,8.000000000008E-6
9832,y,6," ",1,6827.1748046875,634.3530273,634.35186415091,1.8336023847398,11.905897822825%,3.605281307508%,2.9999999999752E-6
9832,y,7," ",1,2261.0278320313,747.4375,747.43592415091,2.1083400463323,3.9430023564425%,1.1939992180925%,3.0000000000863E-6
10200,y,3," ",2,5380.1650390625,200.638382,200.63697580889,7.0086338788983,29.297454227854%,4.9205564293821%,2.0000000000575E-6
10200,y,3," ",1,6706.5961914063,400.2671204,400.26667515091,1.1123811166397,36.520477255967%,6.1336752254433%,3.0000000000863E-6
10200,y,8," ",2,5686.4208984375,456.2697754,456.26907930889,1.5256153389423,30.965157162041%,5.2006499259463%,1.9999999999465E-6
10200,y,5," ",1,2475.8989257813,602.3288574,602.32564415091,5.3347373172764,13.482399689269%,2.2643915733626%,2.9999999999752E-6
10200,y,6," ",1,3342.564453125,701.3931885,701.39405815091,-1.2398891877692,18.201789045146%,3.0570209075434%,2.9999999999752E-6
10200,y,8," ",1,2308.2856445313,911.5357056,911.53088215091,5.291591525342,12.56966887158%,2.1110969062444%,4.000000000004E-6
10401,y,3," ",2,1467.7412109375,200.6375427,200.63697580889,2.8254567919641,8.8747020443794%,1.258998907718%,1.0000000000288E-6
10401,y,3," ",1,9528.65234375,400.266571,400.26667515091,-0.26020379766552,57.615027639133%,8.1734864453001%,1.9999999999465E-6
10401,y,8," ",2,3090.05859375,456.2700195,456.26907930889,2.0606066654302,18.684049418827%,2.6505901485392%,1.9999999999465E-6
10401,b,6," ",1,2924.1247558594,541.3118286,541.30926846688,4.7295202023572,17.680729923956%,2.508255437828%,3.0000000000863E-6
10401,y,5," ",1,2300.8815917969,602.3267212,602.32564415091,1.7881508142117,13.912288088956%,1.9736499794882%,4.000000000004E-6
10401,y,6," ",1,6547.337890625,701.3948975,701.39405815091,1.1966869139884,39.588500023147%,5.6161748347262%,4.000000000004E-6
10401,y,8," ",1,1502.591796875,911.5256958,911.53088215091,-5.6897149734731,9.085426226519%,1.2888930398046%,4.000000000004E-6
10727,a,2," ",1,2581.2392578125,199.1809387,199.18048184731,2.293661943145,28.204617927848%,5.5765326180241%,2.0000000000575E-6
10727,y,7," ",2,9151.83203125,362.7094116,362.70866180889,2.0671993392882,100%,19.771700621117%,1.0000000000288E-6
10727,y,6," ",1,6999.9208984375,627.3612671,627.35728315091,6.3503671639396,76.486553452199%,15.12269236398%,2.0000000000575E-6
10727,y,7," ",1,8652.4580078125,724.4138184,724.41004715091,5.2059591191371,94.54345292033%,18.692848468275%,2.0000000000575E-6
10727,y,14," ",2,2548.3095703125,801.4161987,801.41447080889,2.1560517921507,27.844802675694%,5.505391023579%,1.9999999999465E-6
11060,b,1," ",1,1974.0014648438,129.1029205,129.10223646688,5.2983832018587,32.944459755534%,3.7252513007858%,1.0000000000288E-6
11060,y,3," ",1,2869.498046875,332.1954346,332.19284515091,7.7950176496332,47.889560675344%,5.4151942245744%,2.0000000000575E-6
11060,a,6," ",2,2404.4711914063,389.7376099,389.73583115709,4.5639706791787,40.128645195759%,4.5376153934096%,2.9999999999752E-6
11060,y,5," ",1,5991.9072265625,516.3167114,516.31401915091,5.2143637228691,100%,11.307671543043%,1.9999999999465E-6
11060,y,7," ",1,2534.1020507813,778.4477539,778.44576315091,2.5573382052886,42.292077546653%,4.7822492177046%,2.0000000000575E-6
11213,a,2," ",1,20214.9140625,187.1444855,187.14410184731,2.0500389123259,100%,26.869090202903%,2.0000000000575E-6
11213,b,2," ",1,2667.4987792969,215.1401367,215.13901646688,5.2070198117074,13.195696855547%,3.5455636910187%,2.0000000000575E-6
11213,y,8," ",2,2947.4357910156,478.7698975,478.76924980889,1.3528251997279,14.58050121758%,3.9176480241871%,1.9999999999465E-6
11213,y,11," ",2,2090.6374511719,666.8549805,666.85658680889,-2.4087771278833,10.342054607346%,2.7788159812814%,2.0000000000575E-6
11213,y,8," ",1,5900.625,956.5252075,956.53122315091,-6.2890272304257,29.189463688822%,7.8429433282933%,2.9999999999752E-6
11547,y,8," ",2,5888.3989257813,392.2340393,392.23283380889,3.0734069208693,12.027460463725%,2.6803693171584%,1.9999999999465E-6
11547,y,9," ",2,3353.7854003906,441.766571,441.76704080889,-1.0634765625888,6.850337726%,1.5266260993599%,1.9999999999465E-6
11547,b,4," ",1,2084.1069335938,506.2764587,506.27215946688,8.4919406303721,4.256931988121%,0.94867490278618%,2.9999999999752E-6
11547,y,10," ",2,9988.146484375,507.287323,507.28728080889,0.083170045146429,20.40147728795%,4.5465536064117%,2.9999999999752E-6
11547,y,11," ",2,7494.150390625,572.8076782,572.80752080889,0.27477136778857,15.307318452527%,3.41129923743%,2.9999999999752E-6
11547,b,8," ",1,2275.2956542969,866.4002075,866.40027146688,-0.073830631426997,4.6474481213433%,1.0357030384846%,4.000000000004E-6
11591,a,1," ",1,8387.0009765625,136.0759125,136.07569184731,1.6215437745639,100%,17.850039600455%,2.9999999999752E-6
11591,y,5," ",1,3289.8469238281,624.3342285,624.33515115091,-1.4778134906323,39.225545973127%,7.0017754896977%,1.9999999999465E-6
11621,b,1," ",1,6195.6259765625,129.1023407,129.10223646688,0.80736882546741,43.900972886016%,10.711028294586%,2.0000000000575E-6
11621,y,1," ",1,2575.0244140625,175.1200867,175.11895115091,6.4844443364949,18.246110628729%,4.4517147198058%,9.9999999991773E-7
11621,y,5," ",2,1660.5710449219,325.703125,325.70284580889,0.85719578324153,11.76647600972%,2.870803291647%,1.0000000000288E-6
11621,y,6," ",1,6009.5434570313,749.4718628,749.46682915091,6.71630670651,42.582429178665%,10.389327930593%,1.9999999999465E-6
11629,a,2," ",1,9582.673828125,200.139679,200.13935184731,1.6346245152698,71.848022188509%,7.5221297109496%,2.0000000000575E-6
